floor,ap,room,bssid,x,y
3,a03,"311,312",94:64:24:9f:9f:80,18,7
3,a04,"329 313 사이 복도",94:64:24:9d:f9:40,15,10
3,a11,통로,94:64:24:9e:ce:a0,24,7
3,a13,"313,314",94:64:24:9e:86:a0,16,7
3,b01,301,94:64:24:9f:0e:60,35,17
3,b02,301,94:64:24:9f:c5:00,35,19
3,b03,302,94:64:24:a0:e3:b0,38,20
3,b04,303,94:64:24:a0:c1:60,38,18
3,b05,304,94:64:24:9f:b3:f0,38,15
3,b06,305,94:64:24:9d:eb:00,38,12
3,b07,306,94:64:24:9e:b2:50,38,10
3,b08,307,94:64:24:a0:d9:30,38,7
3,b09,"310,309,308",94:64:24:9f:34:d0,34,7
4,a05,,94:64:24:9f:83:90,18,7
4,a06,,94:64:24:9e:72:f0,15,10
4,a13,415,94:64:24:9f:ea:b0,23,6
4,b01,401,94:64:24:a1:00:a0,21,15
4,b02,403,94:64:24:9e:fa:60,25,16
4,b03,404,94:64:24:9e:7e:40,28,17
4,b04,405,94:64:24:a0:ce:60,31,18
4,b05,405,94:64:24:a0:89:f0,33,19
4,b06,406,94:64:24:9d:d8:50,35,19
4,b07,407A,94:64:24:9e:54:60,39,21
4,b08,407,94:64:24:9f:82:20,39,17
4,b09,408,94:64:24:9f:f9:80,38,15
4,b10,409,94:64:24:a1:08:d0,38,12
4,b11,410,94:64:24:9f:ba:b0,38,10
4,b13,411,,40,7
4,b14,412,94:64:24:9e:24:30,34,7
4,b15,413,94:64:24:9e:84:30,30,6
4,b16,414,94:64:24:9d:f1:30,26,6
4,b17,412,94:64:24:9e:24:30,34,6
4,b18,413,94:64:24:9e:84:30,30,6
4,b19,414,94:64:24:9d:f1:30,26,6
4,b20,415,94:64:24:9f:fb:30,22,6
5,a05,,94:64:24:9e:c0:c0,15,10
5,b01,501,94:64:24:9e:21:90,21,15
5,b02,503,94:64:24:9e:d1:40,24,16
5,b03,504,94:64:24:a1:0f:30,27,17
5,b04,505,94:64:24:a1:59:d0,31,18
5,b05,506,94:64:24:9e:c3:30,35,19
5,b06,507,94:64:24:9f:81:e0,39,21
5,b07,507,94:64:24:a0:df:c0,39,17
5,b08,508,94:64:24:9f:51:81,38,15
5,b09,509,94:64:24:a0:0b:80,38,12
5,b10,510,94:64:24:9f:70:70,38,10
5,b11,511,94:64:24:9e:16:20,39,7
5,b12,511,94:64:24:9e:e1:30,40,7
5,b13,512,94:64:24:a0:ae:d0,34,7
5,b14,514,94:64:24:9d:fc:10,30,7
5,b15,515,94:64:24:a1:09:90,26,7
5,b16,518,94:64:24:a1:95:10,18,7
5,b17,504,94:64:24:9f:14:c0,28,19
5,b18,503,94:64:24:a0:70:60,26,17
5,b19,505,94:64:24:a0:fe:45,33,19
